company,date,type,URL,text,total engagement,engagement rate,reactions,shares,comments
ERASE (US),"23 Jul, 2019 10:04",link,https://www.facebook.com/1003344626383879/posts/2510223159029344/,äóěShe hadnäó»t slept. She was hungry. She hadnäó»t eaten.äóť Blume says those are just many of the signs in victims who come to the hospital for medical help.äóť,377,1044.900222,101,275,1
ERASE (US),"26 Jan, 2020 9:32",link,https://www.facebook.com/1003344626383879/posts/2892157474169242/,"Speechless...
This is incredibly sad on so many levels, including the bail. This is unacceptable. Who is protecting our vulnerable citizens?
""Investigators say Talley, a Children and Youth Services employee, forced another woman into prostitution, promising a favorable custody recommendation for the victim's children.""",376,798.6406117,106,262,8
ERASE (US),"10 Jul, 2019 21:12",link,https://www.facebook.com/1003344626383879/posts/2487247887993538/,"Federal Sex Trafficking Law - Under 18 = Child

Media needs to step up and use the correct language to help create a mindset change about sex trafficking so we can better protect our children.",367,1023.424428,140,217,10
ERASE (US),"24 Aug, 2018 13:41",link,https://www.facebook.com/1003344626383879/posts/1998732700178395/,,341,1267.657993,63,273,5
ERASE (US),"10 Mar, 2019 10:04",link,https://www.facebook.com/1003344626383879/posts/2276506075734388/,"äóěMore than 900 individuals are äóÖsoldäó» in Nebraska every month. These are people of every gender, every race and every age. The younger the person, the higher the price.äóť",327,1023.794615,90,233,4
ERASE (US),"12 Jul, 2019 10:20",photo,https://www.facebook.com/1003344626383879/posts/2490020854382908/?substory_index=0,"R. Kelly Arrested on äóĺFederal Sex Trafficking Charges. -13 counts including sex crimes, child pornography and obstruction of justice. äóĺ
äó_-Federal Prosecutors have a conviction rate above 95%. äóĺ
äó_#HelpERASE #ChildTraffickingäóĺ
#rkelly #chicago #crime _ô_‚#abovethelaw #timesup",326,907.5723831,163,148,15
ERASE (US),"18 Jul, 2019 14:03",link,https://www.facebook.com/1003344626383879/posts/2501487029902957/,"Jeffrey Epstein denied bail, judge says no amount 'can overcome danger to the community.",322,893.6996947,185,123,14
ERASE (US),"07 Aug, 2017 18:16",link,https://www.facebook.com/helperase/posts/1570538266331176,"***Missing***
#newjersey",301,1601.915913,7,294,0
ERASE (US),"25 Jan, 2020 10:04",link,https://www.facebook.com/1003344626383879/posts/2890140571037599/,Human Trafficking äóěThis issue impacts everyone.äóť,292,621.1444374,148,138,6
ERASE (US),"11 Jul, 2019 21:02",video,https://www.facebook.com/helperase/videos/329310031351449/,"***Update*** FoundSafe!
URGENT!!!  We need your help!
#missingchildren #prayforemma #prayforanna",288,801.7817372,115,140,33
ERASE (US),"21 Aug, 2019 10:04",link,https://www.facebook.com/1003344626383879/posts/2561915097193483/,"Exploiting vulnerable children that were under their care is unacceptable! 
Owners of Joshua Home arrested, charged with trafficking boys in Burnet Co. TX.",284,771.9488992,127,144,13
ERASE (US),"12 Jan, 2019 10:04",link,https://www.facebook.com/1003344626383879/posts/2190215194363477/,Six dozen bright yellow school buses wound their way through the streets of Atlanta Wednesday to raise awareness of the problem of child sex trafficking in Georgia.,280,933.3333333,129,146,5
ERASE (US),"30 Jan, 2020 10:04",link,https://www.facebook.com/1003344626383879/posts/2900382270013429/,"Man rescues 8-year-old girl during attempted kidnapping at North Carolina restaurant. 
#EverydayHero",273,579.0031813,141,125,7
ERASE (US),"06 Jul, 2019 22:47",link,https://www.facebook.com/1003344626383879/posts/2480156845369309/,"Itäó»s never to late for seek Justice!

Florida-Based Billionaire Jeffrey Epstein Arrested And Accused Of Sex Trafficking Minors  #Miami #helpERASE #ChildTrafficking  #sextrafficking #justice",270,758.2139848,142,113,15
ERASE (US),"17 Jan, 2020 12:06",link,https://www.facebook.com/1003344626383879/posts/2874175892634067/,,261,559.2457682,67,189,5
ERASE (US),"12 Jul, 2019 18:12",photo,https://www.facebook.com/1003344626383879/posts/2490672060984454/?substory_index=0,"***Update*** FoundSafe!
MISSING PERSONS FROM PINE JUNCTION AREA COLORADOäćó
Urgent! Help Needed!äćó
Help is needed in finding these two girls. They were last seen July 7, 2019 at 10:00PM in the area of Mount Evans Boulevard in Pine Junction, CO. The two girls are not related but may be together. They both are from out of state. If you see them or have any information, please call 911 immediately. äćó
#MISSING #PleaseShare #PineJunctionCO #ShermanTX #Idaho #prayforemma #prayforanna #Denver #Colorado",241,670.935412,36,200,5
ERASE (US),"21 Sep, 2018 16:10",photo,https://www.facebook.com/1003344626383879/posts/2032756850109313/,"""Some of the apps used by the 24 alleged child predators arrested during äóěOperation Open House"" and in past police investigations."" - N.J. Attorney General Gurbir Grewal
#socialmedia #technology",235,840.4864092,24,211,0
ERASE (US),"10 Jul, 2019 23:24",photo,https://www.facebook.com/1003344626383879/posts/2487400997978227/,"***Update*** FoundSafe!
We know we have an amazing online community. We need your help! Please share this photo of 2 missing teens from Pine Junction CO. They are from out of state and were last seen together according to information on Park County Sheriff's website.  
#MISSING
#PleaseShare
#PineJunctionCO
#ShermanTX",234,652.5376464,10,224,0
ERASE (US),"25 Mar, 2017 9:49",link,http://www.news.com.au/lifestyle/parenting/kids/melbourne-mother-left-sickened-after-online-groomer-targets-her-eightyearold-daughter/news-story/abce3c4169fc2a141835e29468c269a3?utm_content=SocialFlow&utm_campaign=EditorialSF&utm_source=News.com.au&utm_medium=Facebook,"Social Media and tech are a tools traffickers use to lure children. We will talk about what you can do to help keep your kids safe this week in our live stream. 
#protectourkids",228,1592.178771,19,205,4
ERASE (US),"09 Jul, 2018 12:09",link,https://www.facebook.com/1003344626383879/posts/1921791987872467/,"Just a few weeks ago Indiaäó»s Railway Board put up child trafficking awareness signs asking passengers to report any suspicious activity. It worked! 26 girls were recovered by police thanks to a passenger. 
 
""A train passenger is being hailed a hero after saving 26 girls from suspected child traffickers. Adarsh Shrivastava raised the alarm by tweeting authorities after spotting the girls on a train in the Uttar Pradesh, north India.""",222,914.3327842,63,158,1
ERASE (US),"24 Apr, 2018 12:39",photo,https://www.facebook.com/helperase/posts/1831162940268706,"Last week, we were honored to have San Bernardino County Human Trafficking Task Force host our 3-day Advanced Human Trafficking Law Enforcement Class. San Bernardino County Sheriff's Department, San Bernardino Police Department, City of Fontana Police Department, Redlands Police Department, San Bernardino County District Attorney's Office, State of California Probation, and Homeland Security Investigations sent officers/agents to participate. The class was filled with extremely dedicated men and women who are on the front lines in the fight against human trafficking. 
Thank you DDA Tamara Ross, Assistant CASE Coordinator, Angel Magallanes, and Human Trafficking Advocate, Kelley Alsobrook for presenting to the class.  A big thank you to Dr. Kimberly Mehlman-Orozco for donating over 40 copies of Hidden in Plain Sight: America's Slaves of the New Millennium to the participants in the class. 

The classes we provide law enforcement are not just about teaching tools and techniques, it's about changing mindset, building relationships and learning from one another. No one can win this battle on their own. We have to do it together.  
We look forward to working more with these agencies in the future.

We also want to thank the California National Guard Armory, San Bernardino Police Department and Sheriffäó»s Employeesäó» Benefit Association of San Bernardino County, SEBA for letting us use their training rooms.",214,947.741364,167,38,9
ERASE (US),"23 Jan, 2019 10:04",link,https://www.facebook.com/1003344626383879/posts/2206454392739557/,"""Three people are accused of kidnapping a Houston woman and forcing her into prostitution.""",208,677.9661017,68,137,3
ERASE (US),"29 Jul, 2018 11:48",link,https://www.facebook.com/1003344626383879/posts/1954042164647449/,,205,794.5736434,61,141,3
ERASE (US),"02 Sep, 2019 16:10",link,https://www.facebook.com/1003344626383879/posts/2584269598291366/,"Florida Court Deputy, Roger DeHart is walking 650 miles down the California Coast for human trafficking awareness. Conditions permitting, he will reach his end destination Sept 17 at University of San Diego. Currently, Roger is north of LA. Encouragement is welcomed. _ôÖ�
It would be great if LE Agencies or NGO's along the remainder of his journey met up to increase their community awareness on Human Trafficking. Last year Roger walked from Fl. to DC. 
https://buff.ly/2NKp7Y3",204,554.6492659,149,51,4
ERASE (US),"23 Feb, 2019 10:04",link,https://www.facebook.com/1003344626383879/posts/2255235644528098/,"Epsteinäó»s lawyers to put together a plea deal that required the financier to plead guilty to two prostitution charges and serve 13 months in prison, despite overwhelming evidence of a widespread pattern of sex trafficking and sexual assault, and 103 äóěJane Doeäóť victims.",195,615.1419558,74,105,16
ERASE (US),"17 Jul, 2019 21:27",photo,https://www.facebook.com/1003344626383879/posts/2500195103365483/?substory_index=0,"Found Safe! Thank you to EVERYONE that shared, liked, commented and supported getting the message out! #prayforemma #prayforanna #socialmedia #ForGood",193,535.6647238,139,46,8
ERASE (US),"17 Feb, 2020 16:10",link,https://www.facebook.com/1003344626383879/posts/2939026329482356/,Victim advocacy officials said some parents are exploiting their own children and itäó»s often linked to drug activity.,192,406.1772795,99,84,9
ERASE (US),"19 May, 2019 12:15",photo,https://www.facebook.com/1003344626383879/posts/2393844224000572/,"#Repost @stoptraffickingus
Ü€éÜ€éÜ€é
Right? Be an opportunity blocker and change the world.",192,583.9416058,122,69,1
ERASE (US),"26 Aug, 2019 16:10",photo,https://www.facebook.com/1003344626383879/posts/2571550429563283/?substory_index=0,"Traffickers can be anyone.
äóěLa Madame,äóť reportedly recruited up to 400 girls, many from poor backgrounds, 
#notforsale #stopthedemand #IGModel #pimplife #lifeinjail
https://buff.ly/2ZAG11X",185,502.8540364,115,60,10
ERASE (US),"12 Feb, 2020 13:46",link,https://www.facebook.com/1003344626383879/posts/2927951730589816/,,184,390.4095056,41,141,2
ERASE (US),"27 Mar, 2019 19:51",link,https://www.facebook.com/1003344626383879/posts/2300907116627617/,"Two teenage girls were held captive in a sex trafficking ring that lawyers contend was operated out of three Philadelphia hotels äóî the Roosevelt Inn, Days Inn and North American Motor Inns.",181,563.8629283,87,90,4
ERASE (US),"15 Jul, 2019 22:25",video,https://www.facebook.com/helperase/videos/2649517525060079/,"***Update*** FoundSafe!
_ťÖ__ť»__ť»__ť»©_ť»__ť»Ö_ť»__ť»ç _ť»š_ť»__ť»Â_ť»Â_ť»__ť»Ł_ť»ě: Sixteen year old Emma Stokes and Anna Frankman are _ť„ć_ť„__ťÖó_ťÖó_ť„__ť„é_ť„Ç from Colorado. Call 911 or _ť„__ť„Ë_ť„__ť„__ť„_ _ť„__ťÖ�_ť„__ť„__ť„__ť„__ť„Ë_ťÖó (_ť„¬_ť„é_ť„__ť„é_ťÖĘ_ť„__ť„__ťÖ‰_ťÖó) _ť„¬_ťÖ� _ťô__ťô¬_ťôĺ-_ťôµ_ťô__ťôż-_ť„__ť„__ť„˘_ť„Ł (7867) #prayforEmma #prayforAnna Missing Poster in Comments",177,491.8032787,54,102,21
ERASE (US),"06 Nov, 2018 23:58",link,https://www.facebook.com/1003344626383879/posts/2094537497264581/,,176,608.9965398,35,140,1
ERASE (US),"25 Jan, 2019 10:04",link,https://www.facebook.com/1003344626383879/posts/2209488535769476/,"The search for a missing teenager from Bush led Florida law enforcement to rescue a missing Florida boy, and broke up a suspected human trafficking ring.",173,563.5179153,95,74,4
ERASE (US),"30 Jul, 2018 8:58",video,https://www.facebook.com/helperase/videos/1955461591172173/,Today is World Day Against Trafficking in Persons and we need your help in spreading awareness to help disrupt this terrible epidemic. #GiveFreedom #helpERASE #WDATIP,171,659.7222222,34,136,1
ERASE (US),"17 Jan, 2020 13:59",link,https://www.facebook.com/1003344626383879/posts/2874348422616814/,"Very sad news about missing teenager from Philadelphia. Thoughts and Prayers to her family and friends. _ôÍî
****If you have a missing child/teen and suspect sexual exploitation or sex trafficking, in addition to calling police you can contact the National Center for Missing & Exploited Children at 1-800-THE-LOST (1-800-843-5678).
#Missing

https://buff.ly/3alVy8j",170,361.4714012,100,63,7
ERASE (US),"26 Jul, 2018 12:29",video,https://www.facebook.com/helperase/videos/1948972435154422/,"Monday, July 30th is World Day Against Trafficking in Persons. Help us spread awareness about human trafficking and give a voice to those who don't have one. A message from one of our Advisory Board Members Sergeant Marc Marty on how you can help Monday, July 30th. #HelpERASE #GiveHope",165,642.5233645,28,136,1
ERASE (US),"25 Jul, 2017 12:14",link,https://www.facebook.com/helperase/posts/1557370400981296,"We frequently talk about the misconceptions of a Human Trafficker. This is the perfect example, it can be anyone.",161,865.5913978,26,132,3
ERASE (US),"30 Apr, 2019 10:04",link,https://www.facebook.com/1003344626383879/posts/2362610897123905/,"""Law enforcement professionals in South Carolina learned new skills to identify human trafficking victims and investigate human trafficking crimes. 148 dedicated officers and agents from 58 agencies attended the training. Officers from neighboring states, North Carolina and Georgia, also attended the human trafficking training.""",159,488.4792627,92,65,2
ERASE (US),"17 Aug, 2019 10:04",link,https://www.facebook.com/1003344626383879/posts/2554798421238484/,"Great job by Richland County Sheriff's Department working to combat human trafficking. It's difficult and challenging work and sometimes it requires arresting a peer to protect our children. äóěIn a statement to NBC News, Lott said he would recommend that Vandenham's ""certification be revoked so he never works in law enforcement again.äóť #lawenforcement #makingadifference #EndDemand",158,429.6981235,90,62,6
ERASE (US),"07 Jan, 2019 21:18",link,https://www.facebook.com/1003344626383879/posts/2183856364999360/,"äóěIt will not be popular with everyone in Tennessee, but he did the right thing and we praise him for that.äóť",158,527.3698264,122,30,6
ERASE (US),"04 Nov, 2019 7:21",link,https://www.facebook.com/1003344626383879/posts/2709883279063330/,"#missing
#freeholdNJ
#pleaseshare",154,407.4074074,36,117,1
ERASE (US),"19 Jun, 2019 20:27",photo,https://www.facebook.com/1003344626383879/posts/2448897758495218/,,150,452.7618473,117,32,1
ERASE (US),"04 Aug, 2018 16:10",link,https://www.facebook.com/1003344626383879/posts/1964331146951884/,"Another life sentence given to a trafficker involved in sex trafficking of minors. Great job by all those involved in getting justice for the victims. 

äóěA Fort Worth pimp known as äóěZiggäóť has been sentenced to life in federal prison for sex-trafficking childrenäóť",149,571.1000383,78,68,3
ERASE (US),"11 Aug, 2019 16:10",link,https://www.facebook.com/1003344626383879/posts/2544717042246622/,"""It is critical those looking to harm children in Genesee County know they could very well wind up on the next photo line-up, and have their lives, careers, and families forever impacted. The trauma these predators inflict on their victims is unimaginable, and the consequences for their actions must be severe,"" Pickell's post said.""",148,403.1599019,84,59,5
ERASE (US),"12 Jul, 2019 12:12",link,https://www.facebook.com/1003344626383879/posts/2490192711032389/,"***Update*** FoundSafe!
Search continues for both missing girls in Colorado. Please keep sharing!",147,409.2427617,41,99,7
ERASE (US),"30 Jul, 2019 16:10",link,https://www.facebook.com/1003344626383879/posts/2523466611038332/,"This is why we do the work we do. Human Trafficking isn't only growing in Tennessee, it's happening all across the country.
äóěHuman trafficking touches just about every county in Tennessee and the average age of victims when they begin is 13-years-oldäóť
#lawenforcement #humantrafficking #Education",146,402.0930873,70,71,5
ERASE (US),"28 Mar, 2017 20:00",video,https://www.facebook.com/helperase/videos/1420025981382406/,Hello everyone! I am Sgt. Marc Marty also known as @iDigitalCop and tonight we are talking internet and social media safety for children. #HelpErase,146,1016.713092,44,35,67
ERASE (US),"23 Apr, 2019 10:04",photo,https://www.facebook.com/1003344626383879/posts/2351880908196904/,"A gut feeling by a Trooper during a car stop, resulted in recovering  a missing minor, who is possibly a sex trafficking victim. This could have become a missed opportunity by law enforcement and ended badly. Thankfully that wasnäó»t the case this time. #LE #makingadifference 
 https://buff.ly/2GAM6AO",145,445.8794588,99,43,3
ERASE (US),"29 Oct, 2018 7:23",link,https://www.facebook.com/1003344626383879/posts/2080401518678179/,,145,505.0505051,85,60,0
ERASE (US),"09 Aug, 2019 16:10",link,https://www.facebook.com/1003344626383879/posts/2541187949266198/,"""Lt. Sean Swain, a public information officer with the Cumberland County Sheriff's Office, says the operation involved Fayetteville PD, and a non-profit group called Five Sparrows.""",144,392.4775143,77,63,4
ERASE (US),"28 Oct, 2019 16:10",link,https://www.facebook.com/1003344626383879/posts/2696057273779264/,"Two teenage girls were forced into prostitution by a youth worker they met at a mental health treatment facility for sex abuse victims, according the Wisconsin Department of Justice.
#mentalhealth #vulnerable",142,376.5579422,94,40,8
ERASE (US),"09 Apr, 2019 16:10",link,https://www.facebook.com/1003344626383879/posts/2320062621378733/,"""Naval officer, Charles Barreras, 48, is being charged with trafficking for labor and firearm possession during the crime. Florida National Guardsman, Daven Jones, 29, is being charged with trafficking for sex.""",140,432.9004329,65,72,3
ERASE (US),"07 Mar, 2019 7:50",photo,https://www.facebook.com/1003344626383879/posts/2271895059528823/,"Under 18 + Engaging in Commercial Sex = Victim of Sex Trafficking. 
Commercial Sex = The exchange of anything of value for a sexual act.
Under 18... cannot consent to engage in Commercial Sex. 
Educated Law Enforcement = Victims Being Identified.
 #helpERASE #childtrafficking",140,439.0090938,60,80,0
ERASE (US),"11 Jun, 2019 13:14",link,https://www.facebook.com/1003344626383879/posts/2433931469991847/,,139,420.8295489,64,75,0
ERASE (US),"06 Jun, 2019 10:04",link,https://www.facebook.com/1003344626383879/posts/2424674354250892/,"""On Sunday, the teen contacted the Crisis Text Line to report that she was being held against her will and forced to engage in prostitution.""",137,414.5234493,94,40,3
ERASE (US),"19 Apr, 2019 10:04",link,https://www.facebook.com/1003344626383879/posts/2345286535523008/,"It's not only judges and juries that don't understand.  
äóěWhen Iäó»m testifying in a trafficking case, which is fairly common these days, itäó»s really clear that judges and juries do not really understand the difference between prostitution and sex trafficking,äóť said Cooper.",137,422.1879815,50,86,1
ERASE (US),"12 Feb, 2019 10:04",link,https://www.facebook.com/1003344626383879/posts/2237064119678584/,Ontario Provincial Police say they have freed 43 modern-day slaves brought to Canada from Mexico by alleged human traffickers and forced to work as cleaners at hotels.,137,439.9486191,78,56,3
ERASE (US),"11 Aug, 2018 16:10",link,https://www.facebook.com/1003344626383879/posts/1976304352421230/,"What Every Parent Needs to Know About Child Sex Trafficking.
#SexTrafficking #EndHumanTrafficking #Teens #Parents #Social Media",136,516.7173252,37,99,0
ERASE (US),"30 Jul, 2019 10:04",link,https://www.facebook.com/1003344626383879/posts/2522955317756128/,"""On this World Day against Trafficking in Persons, let us reaffirm our commitment to stop criminals from ruthlessly exploiting people for profit and to help victims rebuild their lives."" -- UN Secretary-General Antí_nio Guterres #WDATP #givehope",135,371.7984026,58,75,2
ERASE (US),"16 Sep, 2019 10:04",link,https://www.facebook.com/1003344626383879/posts/2609382689113390/,"Report: Pair tortured human trafficking victim in front of children at Pineville, N.C. hotels. "" The victim has been very brave in coming forward and we hope that if there are more victims out there, then they too will be inspired to come forward.äóť
#lawenforcement #endhumantrafficking #northcarolina",133,361.5112802,86,38,9
ERASE (US),"17 Jul, 2019 21:54",video,https://www.facebook.com/helperase/videos/628458430992503/,"GREATEST LiveStream Iäó»ve ever gotten to do!!!
#PrayForEmma #PrayForAnna",132,366.3613655,91,10,31
ERASE (US),"03 Jul, 2019 10:04",link,https://www.facebook.com/1003344626383879/posts/2473791476005846/,"Do you know who your children are messaging with online?

äóěSting operation suspect asks young girl to help kidnap children from parks so he could äóÖbreedäó» them, police sayäóť äóń Crime Online
#socialmedia #Livestream #childsafety",132,371.6216216,60,71,1
ERASE (US),"10 Aug, 2019 10:04",link,https://www.facebook.com/1003344626383879/posts/2542401035811556/,"""Fighting Against Trafficking, the Epik Project and Ride My Road came together to set up the ride. The organizations host events all over the country to bring awareness to what they call modern-day slavery.""",131,357.0455165,88,41,2
ERASE (US),"02 May, 2018 11:05",photo,https://www.facebook.com/helperase/posts/1839146462803687:0,"Yes... sex trafficking happens in your town with kids from your neighborhood. 
The average girl nets the average pimp $150,000 dollars a year.
Education and Awareness is needed. As a community we need to protect our children. 
#helperase #childtrafficking #awareness #priceless #education #miami #losangeles #newyorkcity #leo #le #law #createchange",131,580.1594331,30,100,1
ERASE (US),"06 May, 2019 17:13",link,https://www.facebook.com/1003344626383879/posts/2372746289443699/,"""Special Agent Gonzalez-Ramos said, as a community, we need to be alert to help stop sex trafficking.""",130,398.7730061,72,55,3
ERASE (US),"20 Sep, 2019 9:38",link,https://www.facebook.com/1003344626383879/posts/2616913711693621/,"""Two female victims, ages 17 and 23, were interviewed by Task Force Investigators. During their interviews, investigators were able to determine that the two women were victims of human trafficking."" #SBHTTF @sbcountysheriff  #LEOs  #makingadifference",129,350.353069,83,40,6
ERASE (US),"21 Jun, 2019 8:59",link,https://www.facebook.com/1003344626383879/posts/2451667244884936/,"äóěWhen they built up enough debt to King because of their drug habit, King would force them into the sex-trafficking ringäóť",129,389.3751887,69,47,13
ERASE (US),"24 Aug, 2018 10:04",link,https://www.facebook.com/1003344626383879/posts/1998439426874389/,"Thankfully someone spoke up when something didn't seem right.
""FBI alerted Columbia police after receiving an anonymous tip that a minor was being left in a Welcome Inn hotel room with strange men for long periods of time.""",124,460.9665428,68,48,8
ERASE (US),"16 Jan, 2020 20:50",link,https://www.facebook.com/1003344626383879/posts/2872873719430951/,"Community members saving lives! 
#seesomethingsaysomething
#Massachusetts",122,261.4098993,81,38,3
ERASE (US),"01 Jun, 2019 13:04",link,https://www.facebook.com/1003344626383879/posts/2415907441794250/,äóěWe were able to use the study to educate all four agencies that one out every four children that comes in front of you has been sex trafficked.äóť,122,369.2493947,63,57,2
ERASE (US),"11 Mar, 2020 16:10",link,https://www.facebook.com/1003344626383879/posts/2987692191282436/,"äóěInvestigators say the arrestees, ranging in age from 20 to 57, traveled from areas around South Georgia with the intent to meet a child for sex.äóť",121,254.8441449,66,53,2
ERASE (US),"24 Sep, 2019 10:04",link,https://www.facebook.com/1003344626383879/posts/2624550787596580/,,119,323.2817169,95,21,3
ERASE (US),"24 Apr, 2019 16:10",link,https://www.facebook.com/1003344626383879/posts/2353914511326877/,7 years in prison for enslaving a child for 16 years...there tends to be a lack of knowledge and awareness among judges when it comes to labor trafficking.,116,356.5939133,69,44,3
ERASE (US),"08 Apr, 2019 15:04",link,https://www.facebook.com/1003344626383879/posts/2318529318198730/,"Mack enters Guilty plea. According to court filings, Mack directly or implicitly required her slaves, including Jane Does 1 and 2, as identified in the Indictment, to engage in sexual activity",116,359.3556382,54,59,3
ERASE (US),"02 Mar, 2019 14:17",photo,https://www.facebook.com/1003344626383879/posts/2265905430127786/,"Members of the San Bernardino County Human Trafficking Task Force recovered a child being trafficked by 27yo Christina Lister, of Hemet. Lister was charged with pandering and human trafficking of a minor. Investigators believe there are other victims, anyone with information please contact the Task Force at (909) 387-8400.
The SBCHTTF is made up of investigators from the San Bernardino County Sheriff's Department, San Bernardino County District Attorney, San Bernardino Police Department, Ontario Police Department, San Bernardino Unified District Police, California State Parole, Office of Homeland Security and the Federal Bureau of Investigation. #LE #MakingADifference #InlandEmpire 
 https://buff.ly/2VwI4OQ",115,0,43,63,9
ERASE (US),"17 Oct, 2019 16:10",link,https://www.facebook.com/1003344626383879/posts/2672043802847278/,"äóěThey are in denial that this is the person who put them in that situation. In their minds, they think this is the person who is going to let them live.äóť #invisiblechains",112,297.3977695,83,27,2
ERASE (US),"21 Aug, 2019 8:25",link,https://www.facebook.com/1003344626383879/posts/2561780920540234/,"Feds move to dismiss Jeffrey Epstein's sex-trafficking indictment but officials say they have no plans to end the probe into Epstein's alleged victims' claims, and authorities are still considering charging others accused in the alleged underage sex ring.",112,304.4305518,59,49,4
ERASE (US),"15 Mar, 2019 10:04",link,https://www.facebook.com/1003344626383879/posts/2283095615075434/,"""We were able to wait for him to get there and catch him in the act of trying to collect the money,"" said Chief Corey Haines, Madison Heights police.",110,344.072568,62,47,1
ERASE (US),"22 Jul, 2019 10:04",link,https://www.facebook.com/1003344626383879/posts/2508307315887595/,äóěHernandez Acosta conspired to traffic minor girls for commercial sex throughout North Georgia.äóť,109,302.2739878,68,38,3
ERASE (US),"21 Jan, 2019 16:10",link,https://www.facebook.com/1003344626383879/posts/2203992032985793/,The Hidalgo County District Attorneyäó»s Office will soon become the first in the nation with a human trafficking unit dedicated to prosecuting cases of forced labor in the agricultural sector.,109,355.976486,57,50,2
ERASE (US),"07 Jul, 2019 9:01",photo,https://www.facebook.com/1003344626383879/posts/2480925921959068/,Only 1-2% of victims are recovered from Human Trafficking. The best thing we can do is become educated and prevent our children from being lured into trafficking.,108,303.2855939,52,53,3
ERASE (US),"28 Jan, 2020 14:14",link,https://www.facebook.com/1003344626383879/posts/2896662863718703/,"This story provides additional details from a case in Florida last year. It highlights how social media and video games are used to lure kids. 
Knowing who your children talk to online and in person is extremely important.",107,226.8390926,57,48,2
